time,MVRV,PriceUSD,RealizedPrice
2023-05-22,1.331796174941,26858.7370637054,20167.303052132036
2023-05-23,1.349756710174,27226.8558763881,20171.676622284194
2023-05-24,1.306148991112,26341.4306446522,20167.248012208944
2023-05-25,1.312302574122,26484.8359234366,20181.958372790938
2023-05-26,1.323951129649,26720.3838071303,20182.303718577805
2023-05-27,1.330559181986,26854.5403702513,20182.898088131686
2023-05-28,1.391560954233,28097.5211259497,20191.369296817098
2023-05-29,1.374801000798,27765.0728693746,20195.703125949447
2023-05-30,1.371662586882,27712.4915844535,20203.577650570944
2023-05-31,1.347122513076,27217.6832580362,20204.311778509094
2023-06-01,1.32755818548,26825.3713451198,20206.55037083791
2023-06-02,1.348499664123,27255.2279941555,20211.52004652593
2023-06-03,1.339845350422,27079.4084643483,20210.846315822437
2023-06-04,1.343716524322,27158.25456955,20211.29760479299
2023-06-05,1.276417765634,25785.8514842198,20201.733459430427
2023-06-06,1.3462357416,27213.7705187025,20214.714019075855
2023-06-07,1.303228127244,26339.5790292227,20211.027124563592
2023-06-08,1.312170481703,26521.693600526,20212.079124127857
2023-06-09,1.309627647538,26470.6775780245,20212.369239292828
2023-06-10,1.279906228962,25863.2138506721,20207.116166351567
2023-06-11,1.282204028842,25906.8281516657,20204.91869383923
2023-06-12,1.282415132209,25906.7519354179,20201.53325139942
2023-06-13,1.281288526881,25880.8599734074,20199.088207250523
2023-06-14,1.242758133707,25097.5853796026,20195.068291156123
2023-06-15,1.265794710232,25559.1433293396,20192.171070658856
2023-06-16,1.303742036635,26331.8200943892,20197.109055678276
2023-06-17,1.312806147734,26514.1713495032,20196.562451561193
2023-06-18,1.304485514887,26353.962682934,20202.572111517
2023-06-19,1.326002267293,26778.0634415547,20194.583449861995
2023-06-20,1.401058308786,28305.4204573349,20202.885404434885
2023-06-21,1.487688159529,30099.5153509643,20232.409028847662
2023-06-22,1.479224774259,29952.5112866745,20248.78964164108
2023-06-23,1.511461032551,30638.3537644652,20270.687172632348
2023-06-24,1.506266238891,30549.0162872589,20281.28593637659
2023-06-25,1.501725462895,30467.4403705435,20288.289120308917
2023-06-26,1.490477217783,30255.8861241964,20299.462322007385
2023-06-27,1.508993136561,30667.0762948568,20322.87328009136
2023-06-28,1.480047953676,30104.0432717709,20339.910742081964
2023-06-29,1.4974352167,30460.792978083,20341.977160929557
2023-06-30,1.497404119431,30484.503257744,20358.23386764011
2023-07-01,1.500071404388,30581.6889655172,20386.82217130453
2023-07-02,1.500295120753,30594.2164736996,20392.13222152207
2023-07-03,1.525922363387,31135.3575993571,20404.286840811335
2023-07-04,1.509148391226,30799.9474558738,20408.826351961703
2023-07-05,1.494037535141,30497.8221282876,20413.02270589163
2023-07-06,1.470491737414,29979.7298094681,20387.554072347466
2023-07-07,1.487208780434,30329.8829786674,20393.82995695902
