Date,close,asset
2015-01-02,2052.4,SP500
2015-01-09,2041.2,SP500
2015-01-16,2016.6,SP500
2015-01-23,2048.8,SP500
2015-01-30,1993.8,SP500
2015-02-06,2056.6,SP500
2015-02-13,2096.0,SP500
2015-02-20,2109.0,SP500
2015-02-27,2106.2,SP500
2015-03-06,2072.0,SP500
2015-03-13,2050.4,SP500
2015-03-20,2106.8,SP500
2015-03-27,2058.8,SP500
2015-04-03,2046.0,SP500
2015-04-10,2101.4,SP500
2015-04-17,2081.0,SP500
2015-04-24,2116.4,SP500
2015-05-01,2105.4,SP500
2015-05-08,2112.0,SP500
2015-05-15,2121.6,SP500
2015-05-22,2126.8,SP500
2015-05-29,2108.5,SP500
2015-06-05,2093.2,SP500
2015-06-12,2094.0,SP500
2015-06-19,2106.7,SP500
2015-06-26,2102.8,SP500
2015-07-03,2073.0,SP500
2015-07-10,2074.5,SP500
2015-07-17,2124.9,SP500
2015-07-24,2082.5,SP500
2015-07-31,2104.3,SP500
2015-08-07,2077.5,SP500
2015-08-14,2092.0,SP500
2015-08-21,1976.8,SP500
2015-08-28,1991.4,SP500
2015-09-04,1923.0,SP500
2015-09-11,1961.1,SP500
2015-09-18,1961.3,SP500
2015-09-25,1924.4,SP500
2015-10-02,1951.3,SP500
2015-10-09,2014.6,SP500
2015-10-16,2033.6,SP500
2015-10-23,2071.5,SP500
2015-10-30,2079.6,SP500
2015-11-06,2098.2,SP500
2015-11-13,2016.3,SP500
2015-11-20,2092.2,SP500
2015-11-27,2092.5,SP500
2015-12-04,2090.0,SP500
2015-12-11,2008.0,SP500
2015-12-18,2003.8,SP500
2015-12-25,2059.8,SP500
2016-01-01,2043.4,SP500
2016-01-08,1919.4,SP500
2016-01-15,1882.2,SP500
2016-01-22,1904.2,SP500
2016-01-29,1935.6,SP500
2016-02-05,1877.8,SP500
2016-02-12,1862.8,SP500
2016-02-19,1917.0,SP500
2016-02-26,1943.6,SP500
2016-03-04,1996.2,SP500
2016-03-11,2021.6,SP500
2016-03-18,2048.6,SP500
2016-03-25,2038.8,SP500
2016-04-01,2073.2,SP500
2016-04-08,2049.2,SP500
2016-04-15,2082.0,SP500
2016-04-22,2092.2,SP500
2016-04-29,2065.6,SP500
2016-05-06,2058.6,SP500
2016-05-13,2046.4,SP500
2016-05-20,2052.8,SP500
2016-05-27,2100.8,SP500
2016-06-03,2098.8,SP500
2016-06-10,2096.8,SP500
2016-06-17,2068.4,SP500
2016-06-24,2026.2,SP500
2016-07-01,2103.6,SP500
2016-07-08,2127.2,SP500
2016-07-15,2152.0,SP500
2016-07-22,2173.0,SP500
2016-07-29,2177.0,SP500
2016-08-05,2182.0,SP500
2016-08-12,2184.6,SP500
2016-08-19,2184.8,SP500
2016-08-26,2169.4,SP500
2016-09-02,2180.2,SP500
2016-09-09,2122.2,SP500
2016-09-16,2138.6,SP500
2016-09-23,2163.0,SP500
2016-09-30,2162.4,SP500
2016-10-07,2150.6,SP500
2016-10-14,2130.8,SP500
2016-10-21,2140.0,SP500
2016-10-28,2127.8,SP500
2016-11-04,2084.8,SP500
2016-11-11,2162.4,SP500
2016-11-18,2182.0,SP500
2016-11-25,2212.0,SP500
2016-12-02,2191.4,SP500
2016-12-09,2261.0,SP500
2016-12-16,2260.6,SP500
2016-12-23,2264.2,SP500
2016-12-30,2238.6,SP500
2017-01-06,2275.0,SP500
2017-01-13,2274.6,SP500
2017-01-20,2270.4,SP500
2017-01-27,2293.0,SP500
2017-02-03,2295.0,SP500
2017-02-10,2315.4,SP500
2017-02-17,2349.8,SP500
2017-02-24,2365.6,SP500
2017-03-03,2381.0,SP500
2017-03-10,2371.6,SP500
2017-03-17,2378.6,SP500
2017-03-24,2345.8,SP500
2017-03-31,2360.8,SP500
2017-04-07,2355.4,SP500
